topo1,topo2,topo3
8000,2000,0
10000,0,0
8000,2000,0
7400,800,1800
10000,0,0
5000,4000,1000
10000,0,0
10000,0,0
10000,0,0
6000,0,4000
10000,0,0
10000,0,0
10000,0,0
6200,1400,2400
9000,0,1000
10000,0,0
9600,400,0
10000,0,0
10000,0,0
10000,0,0
10000,0,0
10000,0,0
10000,0,0
5000,2500,2500
10000,0,0
6800,1600,1600
7400,1800,800
8300,1350,350
7400,800,1800
10000,0,0
10000,0,0
10000,0,0
10000,0,0
8320,240,1440
9000,900,100
10000,0,0
10000,0,0
10000,0,0
10000,0,0
5140,1080,3780
10000,0,0
10000,0,0
10000,0,0
10000,0,0
5800,2100,2100
5600,1200,3200
10000,0,0
10000,0,0
10000,0,0
5600,3200,1200
10000,0,0
6200,2400,1400
9000,1000,0
9680,160,160
7000,300,2700
10000,0,0
10000,0,0
5000,1500,3500
5400,2800,1800
10000,0,0
10000,0,0
10000,0,0
7600,2400,0
10000,0,0
10000,0,0
10000,0,0
10000,0,0
10000,0,0
10000,0,0
8000,0,2000
6600,2700,700
10000,0,0
6580,2160,1260
10000,0,0
10000,0,0
10000,0,0
5000,3500,1500
10000,0,0
10000,0,0
5800,2100,2100
5000,3000,2000
10000,0,0
10000,0,0
10000,0,0
8980,810,210
9740,80,180
10000,0,0
10000,0,0
10000,0,0
6600,700,2700
4600,1200,4200
10000,0,0
9100,450,450
10000,0,0
10000,0,0
8000,1000,1000
10000,0,0
10000,0,0
8000,0,2000
8640,1080,280
4800,1600,3600
6200,2400,1400
10000,0,0
10000,0,0
6200,1900,1900
10000,0,0
10000,0,0
10000,0,0
10000,0,0
6200,2400,1400
10000,0,0
3600,3700,2700
10000,0,0
10000,0,0
10000,0,0
10000,0,0
5200,2400,2400
9000,1000,0
10000,0,0
7400,800,1800
10000,0,0
7504,1368,1128
3800,1100,5100
10000,0,0
8000,2000,0
10000,0,0
10000,0,0
10000,0,0
4100,1500,4400
10000,0,0
5600,3200,1200
10000,0,0
10000,0,0
7900,1050,1050
10000,0,0
4200,2900,2900
10000,0,0
10000,0,0
4800,1600,3600
10000,0,0
10000,0,0
9200,800,0
10000,0,0
4800,3400,1800
10000,0,0
10000,0,0
10000,0,0
10000,0,0
6200,1400,2400
10000,0,0
10000,0,0
10000,0,0
10000,0,0
5800,600,3600
10000,0,0
10000,0,0
10000,0,0
9000,1000,0
10000,0,0
10000,0,0
10000,0,0
7000,0,3000
9000,300,700
8860,420,720
10000,0,0
5000,3500,1500
10000,0,0
10000,0,0
5400,2800,1800
10000,0,0
10000,0,0
10000,0,0
10000,0,0
9000,1000,0
10000,0,0
10000,0,0
9000,600,400
10000,0,0
10000,0,0
10000,0,0
7340,980,1680
10000,0,0
5000,1500,3500
10000,0,0
5000,3000,2000
10000,0,0
10000,0,0
10000,0,0
10000,0,0
9200,800,0
10000,0,0
10000,0,0
10000,0,0
10000,0,0
10000,0,0
5000,3100,1900
10000,0,0
5000,4000,1000
5200,2400,2400
10000,0,0
10000,0,0
6500,2450,1050
9000,700,300
6600,700,2700
10000,0,0
10000,0,0
10000,0,0
4400,800,4800
10000,0,0
8200,0,1800
7400,800,1800
10000,0,0
10000,0,0
9000,0,1000
10000,0,0
10000,0,0
7400,800,1800
10000,0,0
10000,0,0
10000,0,0
10000,0,0
10000,0,0
10000,0,0
10000,0,0
5400,1800,2800
8000,2000,0
7400,1800,800
10000,0,0
5200,2400,2400
10000,0,0
10000,0,0
10000,0,0
6600,700,2700
10000,0,0
9000,0,1000
5200,2400,2400
4150,2900,2950
5000,2000,3000
7400,800,1800
10000,0,0
10000,0,0
10000,0,0
10000,0,0
10000,0,0
10000,0,0
10000,0,0
4600,4200,1200
10000,0,0
6200,1400,2400
3800,4600,1600
10000,0,0
4400,4800,800
6200,1400,2400
10000,0,0
6200,1900,1900
6200,2400,1400
10000,0,0
7000,2400,600
10000,0,0
10000,0,0
5000,3000,2000
10000,0,0
10000,0,0
10000,0,0
10000,0,0
9000,0,1000
10000,0,0
3500,5600,900
10000,0,0
9000,1000,0
5400,2800,1800
10000,0,0
10000,0,0
7000,0,3000
10000,0,0
10000,0,0
7360,1920,720
